ReturnDate,TerritoryKey,ProductKey,ReturnQuantity
2020-01-18,9,312,1
2020-01-18,10,310,1
2020-01-21,8,346,1
2020-01-22,4,311,1
2020-02-02,6,312,1
2020-02-15,1,312,1
2020-02-19,9,311,1
2020-02-24,8,314,1
2020-03-08,8,350,1
2020-03-13,9,350,1
2020-03-14,4,346,1
2020-03-15,9,340,1
2020-03-22,4,311,1
2020-03-26,10,312,1
2020-03-28,7,312,1
2020-03-28,9,314,1
2020-03-29,9,311,1
2020-04-01,8,311,1
2020-04-07,9,311,1
2020-04-07,9,351,1
2020-04-09,9,311,1
2020-04-10,9,326,1
2020-04-15,9,312,1
2020-04-16,9,349,1
2020-04-20,9,310,1
2020-04-21,9,312,1
2020-04-25,4,324,1
2020-04-27,1,314,1
2020-04-29,6,310,1
2020-04-29,9,348,1
2020-04-30,8,330,1
2020-05-01,4,312,1
2020-05-06,9,324,1
2020-05-07,9,351,1
2020-05-13,1,310,1
2020-05-14,7,313,1
2020-05-16,6,313,1
2020-05-16,7,313,1
2020-05-22,9,314,1
2020-05-24,8,322,1
2020-05-30,1,313,1
2020-05-30,4,314,1
2020-06-05,4,313,1
2020-06-07,4,342,1
2020-06-20,9,347,1
2020-06-24,9,320,1
2020-07-03,4,373,1
2020-07-11,8,387,1
2020-07-22,8,379,1
2020-08-14,6,377,1
2020-08-15,1,377,1
2020-08-15,8,328,1
2020-08-26,4,387,1
2020-08-28,4,370,1
2020-08-31,10,373,1
2020-09-03,9,369,1
2020-09-10,1,354,1
2020-10-03,1,352,1
2020-10-07,9,352,1
2020-10-08,10,354,1
2020-10-12,9,379,1
2020-10-13,9,352,2
2020-10-23,9,354,1
2020-10-25,8,334,1
2020-10-27,6,368,1
2020-10-28,8,373,1
2020-10-30,7,370,1
2020-11-16,8,379,1
2020-11-20,8,360,1
2020-11-23,9,326,1
2020-11-24,1,330,1
2020-11-27,10,320,1
2020-12-01,10,356,1
2020-12-04,4,324,1
2020-12-05,6,389,1
2020-12-06,10,360,1
2020-12-10,9,334,1
2020-12-11,9,375,1
2020-12-12,8,377,1
2020-12-12,9,362,1
2020-12-12,9,379,1
2020-12-14,9,377,1
2020-12-16,4,377,1
2020-12-18,4,352,1
2020-12-25,8,389,1
2021-01-07,9,362,1
2021-01-09,8,373,1
2021-01-10,9,381,1
2021-01-16,7,371,1
2021-01-23,4,332,1
2021-01-23,9,354,1
2021-01-26,9,330,1
2021-01-31,4,360,1
2021-02-01,1,354,1
2021-02-12,9,330,1
2021-02-14,4,381,1
2021-02-20,9,328,1
2021-02-20,9,377,1
2021-02-22,8,369,1
2021-02-22,9,362,1
2021-02-25,9,370,1
2021-03-08,9,352,1
2021-03-12,1,336,1
2021-03-18,7,370,1
2021-03-20,9,360,1
2021-03-21,6,330,1
2021-03-24,7,330,1
2021-03-29,9,375,1
2021-03-31,7,368,1
2021-04-01,8,373,1
2021-04-04,7,387,1
2021-04-13,8,362,1
2021-04-25,1,320,1
2021-04-27,4,373,1
2021-05-01,1,322,1
2021-05-01,9,352,1
2021-05-03,9,370,1
2021-05-11,7,352,1
2021-05-16,9,354,1
2021-05-21,4,371,1
2021-05-23,8,328,1
2021-05-26,7,360,1
2021-05-27,7,326,1
2021-05-31,4,369,1
2021-06-10,4,356,1
2021-06-12,10,381,1
2021-06-13,4,371,1
2021-06-15,4,332,1
2021-06-19,1,328,1
2021-06-21,10,368,1
2021-06-25,7,369,1
2021-06-27,9,362,1
2021-07-02,9,375,1
2021-07-03,9,354,1
2021-07-03,9,477,1
2021-07-03,9,479,1
2021-07-04,9,356,1
2021-07-06,10,528,1
2021-07-07,10,358,1
2021-07-08,8,381,1
2021-07-08,9,478,1
2021-07-08,9,480,1
2021-07-08,9,487,1
2021-07-08,10,480,1
2021-07-09,7,215,1
2021-07-11,4,477,1
2021-07-11,8,232,1
2021-07-12,4,478,1
2021-07-12,7,389,1
2021-07-13,4,352,1
2021-07-13,9,371,1
2021-07-13,9,485,1
2021-07-14,4,605,1
2021-07-15,1,540,1
2021-07-15,4,478,1
2021-07-15,7,483,1
2021-07-15,7,540,1
2021-07-15,10,484,1
2021-07-16,1,223,1
2021-07-19,4,537,1
2021-07-22,1,477,1
2021-07-23,9,377,1
2021-07-23,10,220,1
2021-07-24,10,477,1
2021-07-25,9,537,1
2021-07-26,9,487,1
2021-07-26,9,528,1
