SaleID,ProductID,ProductName,ProductCategory,EmployeeID,EmployeeName,VenderID,VenderName,CustomerID,CustomerName,SaleDate,SaleAmount,Quantity,Discount,PaymentMethod,PaymentMethodID
1,1060,Soundbar,Electronics,2007,Grace,3007,VenderH,4005,Sophia,2023-01-01,1406.09,3,0.04,Credit Card,6000
2,1008,Camera,Electronics,2007,Grace,3006,VenderG,4047,Luke,2023-01-02,901.61,3,0.2,Bank Transfer,6002
3,1005,Mouse,Accessories,2001,Alice,3009,VenderJ,4008,Noah,2023-01-03,1864.07,4,0.14,Mobile Payment,6004
4,1034,Power Bank,Accessories,2007,Grace,3003,VenderD,4050,Hazel,2023-01-04,982.48,3,0.14,Mobile Payment,6004
5,1038,Headset,Accessories,2001,Alice,3006,VenderG,4049,Lincoln,2023-01-05,158.72,1,0.06,Bank Transfer,6002
6,1021,Drone,Electronics,2004,David,3007,VenderH,4004,Chris,2023-01-06,1013.27,2,0.18,Cash,6001
7,1040,Charging Cable,Accessories,2003,Charlie,3005,VenderF,4047,Luke,2023-01-07,1611.45,4,0.01,Gift Card,6006
8,1004,Monitor,Electronics,2007,Grace,3005,VenderF,4038,Ellie,2023-01-08,1329.46,1,0.05,Bank Transfer,6002
9,1041,Docking Station,Electronics,2005,Eve,3002,VenderC,4018,Harper,2023-01-09,1936.0,4,0.04,Cryptocurrency,6005
10,1080,Dash Cam,Electronics,2005,Eve,3004,VenderE,4004,Chris,2023-01-10,1702.22,3,0.14,Mobile Payment,6004
11,1075,Air Fryer,Accessories,2004,David,3009,VenderJ,4019,Henry,2023-01-11,1100.45,3,0.14,Cash,6001
12,1079,Bluetooth Tracker,Accessories,2001,Alice,3001,VenderB,4010,Isabella,2023-01-12,492.39,1,0.11,Online Payment,6003
13,1066,Wireless Charger,Electronics,2005,Eve,3004,VenderE,4049,Lincoln,2023-01-13,107.17,1,0.0,Cash,6001
14,1029,TV,Accessories,2004,David,3004,VenderE,4026,Grace,2023-01-14,1962.95,4,0.17,Gift Card,6006
15,1056,Network Switch,Accessories,2006,Frank,3006,VenderG,4028,Sebastian,2023-01-15,1882.81,2,0.19,Mobile Payment,6004
16,1072,Dehumidifier,Electronics,2002,Bob,3003,VenderD,4006,Liam,2023-01-16,620.87,4,0.04,Credit Card,6000
17,1028,Smart Lock,Electronics,2005,Eve,3005,VenderF,4049,Lincoln,2023-01-17,1312.61,3,0.17,Cash,6001
