Date,Item Code,Wholesale Price (RMB/kg)
2020-07-01,102900005115762,3.88
2020-07-01,102900005115779,6.72
2020-07-01,102900005115786,3.19
2020-07-01,102900005115793,9.24
2020-07-01,102900005115823,7.03
2020-07-01,102900005115908,4.6
2020-07-01,102900005115946,4.2
2020-07-01,102900005115960,2.1
2020-07-01,102900005115984,3.44
2020-07-01,102900005116226,4.64
2020-07-01,102900005116233,5.76
2020-07-01,102900005116257,6.56
2020-07-01,102900005116509,1.63
2020-07-01,102900005116530,10.8
2020-07-01,102900005116547,4.06
2020-07-01,102900005116714,9.23
2020-07-01,102900005116790,3.97
2020-07-01,102900005116912,8.16
2020-07-01,102900005116943,7.83
2020-07-01,102900005117056,4.32
2020-07-01,102900005117209,7.58
2020-07-01,102900005118817,8.47
2020-07-01,102900005118824,5.65
2020-07-01,102900005118831,4.13
2020-07-01,102900005119944,10.29
2020-07-01,102900005119975,3.6
2020-07-01,102900005123880,7.5
2020-07-01,102900005125808,12.1
2020-07-01,102900005125815,6.16
2020-07-01,102900011001219,8.24
2020-07-01,102900011006948,11.69
2020-07-01,102900011008522,4.44
2020-07-01,102900011009970,6.03
2020-07-01,102900051000944,29.43
2020-07-01,102900051004294,6.81
2020-07-01,102900051010455,4.63
2020-07-02,102900005115762,3.93
2020-07-02,102900005115779,4.23
2020-07-02,102900005115786,3.18
2020-07-02,102900005115793,9.19
2020-07-02,102900005115823,7.03
2020-07-02,102900005115908,4.52
2020-07-02,102900005115946,4.23
2020-07-02,102900005115960,2.1
2020-07-02,102900005115984,3.58
2020-07-02,102900005116226,4.57
2020-07-02,102900005116233,5.71
2020-07-02,102900005116257,3.72
2020-07-02,102900005116509,1.46
2020-07-02,102900005116530,10.8
2020-07-02,102900005116547,4.05
2020-07-02,102900005116714,8.9
2020-07-02,102900005116790,3.97
2020-07-02,102900005116912,8.05
2020-07-02,102900005116943,7.27
2020-07-02,102900005117056,4.48
2020-07-02,102900005117209,7.33
2020-07-02,102900005118817,7.88
2020-07-02,102900005118824,5.76
2020-07-02,102900005118831,4.11
2020-07-02,102900005119944,10.13
2020-07-02,102900005119975,3.6
2020-07-02,102900005123880,6.46
2020-07-02,102900005125808,12.13
2020-07-02,102900005125815,6.15
2020-07-02,102900011000328,7.1
2020-07-02,102900011001219,8.24
2020-07-02,102900011006689,6.83
2020-07-02,102900011006948,11.75
2020-07-02,102900011008522,4.44
2020-07-02,102900011009970,5.52
2020-07-02,102900051000944,29.54
2020-07-02,102900051004294,6.85
2020-07-02,102900051010455,4.76
2020-07-03,102900005115762,3.57
2020-07-03,102900005115779,4.61
2020-07-03,102900005115786,3.79
2020-07-03,102900005115793,9.2
2020-07-03,102900005115823,6.76
2020-07-03,102900005115908,3.89
2020-07-03,102900005115946,4.3
2020-07-03,102900005115960,2.11
2020-07-03,102900005115984,3.75
2020-07-03,102900005116226,4.42
2020-07-03,102900005116233,5.7
2020-07-03,102900005116257,6.56
2020-07-03,102900005116509,1.48
2020-07-03,102900005116530,10.8
2020-07-03,102900005116547,4.05
2020-07-03,102900005116714,8.97
2020-07-03,102900005116790,3.98
2020-07-03,102900005116912,7.9
2020-07-03,102900005116943,6.75
2020-07-03,102900005117056,5.31
2020-07-03,102900005117209,6.21
2020-07-03,102900005118824,5.61
2020-07-03,102900005118831,4.05
2020-07-03,102900005119944,10.05
2020-07-03,102900005119975,3.6
2020-07-03,102900005123880,6.23
2020-07-03,102900005125808,12.2
2020-07-03,102900005125815,6.32
2020-07-03,102900011000328,6.58
2020-07-03,102900011001219,7.0
2020-07-03,102900011006689,6.88
2020-07-03,102900011006948,11.75
2020-07-03,102900011008522,4.47
